File	type	entity
thoreau-walden-186.tsv	LOCATION	Zanzibar
thoreau-walden-186.tsv	LOCATION	England
thoreau-walden-186.tsv	LOCATION	France Spain
thoreau-walden-186.tsv	LOCATION	India
thoreau-walden-186.tsv	LOCATION	Mississippi
thoreau-walden-186.tsv	LOCATION	Pacific
thoreau-walden-186.tsv	LOCATION	China
thoreau-walden-186.tsv	LOCATION	Japan
thoreau-walden-186.tsv	LOCATION	England
thoreau-walden-186.tsv	LOCATION	America
thoreau-walden-186.tsv	LOCATION	England
thoreau-walden-186.tsv	LOCATION	Walden ice Southern
thoreau-walden-186.tsv	LOCATION	Cambridge
thoreau-walden-186.tsv	LOCATION	Kouroo
thoreau-walden-186.tsv	LOCATION	Kouroo
thoreau-walden-186.tsv	LOCATION	Kalpa
thoreau-walden-186.tsv	LOCATION	Brahma
thoreau-walden-186.tsv	LOCATION	California
thoreau-walden-186.tsv	LOCATION	Texas
thoreau-walden-186.tsv	LOCATION	England
thoreau-walden-186.tsv	LOCATION	Georgia
thoreau-walden-186.tsv	LOCATION	Massachusetts
thoreau-walden-186.tsv	LOCATION	China
thoreau-walden-186.tsv	LOCATION	Boston
thoreau-walden-186.tsv	LOCATION	London
thoreau-walden-186.tsv	LOCATION	Paris
thoreau-walden-186.tsv	LOCATION	Rome
thoreau-walden-186.tsv	LOCATION	Assyria
thoreau-walden-186.tsv	LOCATION	Concord
thoreau-walden-186.tsv	LOCATION	United States
thoreau-walden-186.tsv	LOCATION	Britain
thoreau-walden-186.tsv	LOCATION	New England
thoreau-walden-186.tsv	LOCATION	Connecticut
thoreau-walden-186.tsv	LOCATION	Massachusetts
